页面ID,代码,执行项,说明,负责人,入口
verification,OPEN,最终打开,验收完成后直接打开当天最终日报预览页，供人工批阅通过或继续指出问题。,总指挥,reports/2026-07-01/daily-report/index.html
roles,LV,等级阈值,12 级从记录员到长期主义司令部，每一级都有 XP 下限、解锁、证据和复盘周期。,系统司令,reports/2026-07-01/data-tables/index.html#level-ladder
roles,XP,XP 入账,自动化、OKR、公司待办、个人待办、体重和日报分别计分；没有证据不入账。,积分官,reports/2026-07-01/data-tables/index.html#xp-events
roles,REW,奖励体系,奖励不是皮肤，而是首页入口、异常复盘、OKR 看板、体重趋势、周复盘等操作能力。,总指挥,reports/2026-07-01/data-tables/index.html#reward-ledger
roles,WGT,体重轨道,体重下降、训练、有氧和连续记录都计入体系；只看趋势，不做医疗判断。,体重管理官,calendar.html
calendar,DAY,按日入账,每一天都应该能解释 OKR、公司待办、个人待办、体重、自动化、日报哪些入账。,日历官,calendar.html
calendar,WGT,体重记录,健康 CSV 是第一版事实源；后续可拆成体重、训练、饮食三张表。,体重管理官,reports/2026-07-01/data-tables/index.html#health-ledger
calendar,MISS,缺失处理,没有日报、没有体重、没有待办时要显示待归档，不用空日期伪装完成。,验收官,reports/2026-07-01/system-detail/index.html#calendar-detail
calendar,REVIEW,复盘节奏,每日看当天，周末看连续性，月末看 OKR、体重和自动化失败率。,总经理助理,reports/2026-07-01/roles/index.html
data-tables,SRC,主数据,每日任务、自动化、类目、日报、等级、XP、奖励、健康、页面说明都在这里有表。,数据台账,reports/2026-07-01/data-tables/index.html
data-tables,CSV,导出,每张表都有 CSV，完整结构写入 system-tables.json，方便后续人工和脚本继续改。,系统司令,data/system-tables.json
data-tables,EDIT,修改口径,未来改权重、改奖励、改分类，优先修改表结构和生成器定义，再重新生成页面。,规则官,reports/2026-07-01/system-detail/index.html#data-detail
data-tables,QA,验收,数据页验收不是看漂亮，而是看字段是否足够追责、CSV 是否可下载、链接是否能下钻。,验收官,reports/2026-07-01/data-tables/index.html#page-guide
help,FINAL,最终页边界,最终页只放结论、摘要、建议和成品入口；后台配置、证据链、验收方法集中在 Help。,总控台,reports/2026-07-01/help/index.html
help,DATA,数据表入口,需要改积分、分类、页面说明、日报序列或自动化配置时，先看数据表。,数据台账,reports/2026-07-01/data-tables/index.html
help,RAW,脱敏证据,会话状态、memory、发布输出和 automation.toml 只作为后台证据，不进入客户视图。,验收官,reports/2026-07-01/help/index.html#raw-evidence
help,REQ,需求台账,用户要求和自评体系保存在后台，作为后续修改依据。,Codex,reports/2026-07-01/help/index.html#requirements
system-detail,BRIEF,简报入口,3 分钟简报先给结论，避免详细页一打开就失焦。,总指挥,reports/2026-07-01/system-detail/index.html
system-detail,RULE,规则展开,等级、XP、日报、自动化、业务类目、日历、数据治理都要能从这里找到完整解释。,系统司令,reports/2026-07-01/system-detail/index.html#level-detail
system-detail,TABLE,表格下钻,所有规则都要能回到数据表，方便后续直接修改优化。,数据台账,reports/2026-07-01/data-tables/index.html
system-detail,CHECK,交卷清单,架构、积分、首页、链接、数据、密度、验证七项自评指标都要留在详细页。,Codex,reports/2026-07-01/system-detail/index.html
